id,country,c3,c2,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp_ppp_pc_usd2011,population,revision,quality,quality_score,source,source_detailed,source_comments,survey,source_rank
1,Afghanistan,AFG,AF,2008,29,9,13,17,22,39,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Low income,36588,,Afghan afghani,Month,50.24961474,,,1298,27294031,New 2013,High,12,National statistical authority,European Commission and the Government of Afghanistan,National Risk and Vulnerability Assessment,,5
2,Albania,ALB,AL,1996,27.01,9.15,13.7,17.73,23.29,36.12,3.86,5.29,6.38,7.32,8.38,9.35,10.82,12.47,14.9,21.22,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2255.4,1982.16,US$2011PPP,Year,104.4989167,2255,1982,4812,3092228,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
3,Albania,ALB,AL,2002,31.74,8.35,12.58,16.49,22.21,40.37,3.49,4.86,5.84,6.74,7.65,8.84,10.23,11.98,14.93,25.44,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2305.2,1901.52,US$2011PPP,Year,140.1545159,2305,1902,6316,3119029,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
4,Albania,ALB,AL,2005,30.6,8.4,12.9,17.03,22.5,39.17,3.48,4.92,5.98,6.92,7.99,9.04,10.37,12.13,14.83,24.34,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2605.92,2217.48,US$2011PPP,Year,99.87025448,2606,2217,7563,3079179,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
5,Albania,ALB,AL,2008,29.98,8.87,13.07,16.83,22.23,39,3.73,5.14,6.09,6.98,7.91,8.92,10.3,11.93,14.54,24.46,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2850.24,2385.12,US$2011PPP,Year,83.8946041,2850,2385,9018,2991651,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
6,Albania,ALB,AL,2012,28.96,8.85,13.17,17.34,22.81,37.82,3.66,5.19,6.14,7.03,8.08,9.26,10.52,12.29,14.89,22.93,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,2703.36,2340.72,US$2011PPP,Year,108.1846446,2703,2341,10300,2920039,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
7,Algeria,DZA,DZ,1988,40.19,6.54,10.74,14.93,20.64,47.15,2.7,3.84,4.87,5.87,6.9,8.03,9.4,11.24,14.34,32.81,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,2398.32,1784.52,US$2011PPP,Year,5.914766667,2398,1785,,24591492,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
8,Algeria,DZA,DZ,1995,35.33,6.96,11.55,16.24,22.63,42.62,2.87,4.09,5.22,6.33,7.48,8.76,10.29,12.34,15.73,26.89,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,2284.92,1848.24,US$2011PPP,Year,47.66272667,2285,1848,9295,28904298,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
9,Algeria,DZA,DZ,2012,27.62,9.36,13.67,17.47,22.29,37.22,4.05,5.31,6.36,7.31,8.24,9.23,10.39,11.9,14.36,22.86,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,2972.76,2592,US$2011PPP,Year,77.53596667,2973,2592,13162,37565847,New 2018,Average,13,World Bank,World Bank 2018,PovcalNet,,2
10,Andorra,AND,AD,2001,26.46,,,,,,,,,,,,,,,,,,Consumption,Consumption,Equivalized,Equivalized,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,,,,,,,,,67341,New 2018,High,11,National statistical authority,Andorra Ministry of Finance,,l’Enquesta de Pressupostos Familiars (EPF),5
