Country Name,Country Code,Indicator Name,Indicator Code,variable,value
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1960,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1960,537777811.1
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1960,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1960,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1960,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1960,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1960,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1960,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1960,18577668272
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1960,6592693841
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1960,195999990
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1960,11658722591
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1960,226195579.4
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1960,330442817.2
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1960,4274893913
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1960,169803921.6
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1960,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1960,28071888.56
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1960,84466654.08
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1960,373879363.6
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1960,15165569913
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1960,30412308.99
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1960,112155598.9
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1960,40461721693
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1960,9522746719
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1960,4110000000
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1960,59716467625
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1960,546203561.6
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1960,618740988
